         0.01uF	  3	               	"C9, C14, C15"
          0.1uF	  3	               	"C1, C2, C18"
           1.6k	  1	               	"R28"
         1000uF	  1	               	"C20"
          100nF	  2	               	"C7, C10"
          100uF	  1	               	"C8"
          100uH	  1	               	"L1"
            10k	  2	               	"R7, R11"
           10uF	  2	               	"C3, C21"
            15k	  1	               	"R19"
             1k	  4	               	"R2, R3, R4, R5"
          2.21k	  4	               	"R24, R29, R31, R33"
           2.2k	  3	               	"R1, R16, R21"
          2.61k	  1	               	"R25"
           2.7k	  3	               	"R22, R26, R27"
           2.8k	  1	               	"R35"
          200uF	  2	               	"C12, C13"
             22	  3	               	"R13, R15, R18"
          220uF	  1	               	"C19"
           25uH	  1	               	"L4"
          3.57k	  2	               	"R30, R32"
           3.6k	  2	               	"R8, R9"
           33pF	  3	               	"C4, C5, C6"
           4.7k	  3	               	"R6, R12, R17"
          4.99k	  2	               	"R23, R34"
          470uF	  3	               	"C11, C16, C17"
            47k	  3	               	"R10, R14, R20"
           50uH	  2	               	"L2, L3"
      ALIEN_PWR	  1	               	"U5"
          BAS16	  1	               	"D3"
         CONN_2	  1	               	"P1"
            DB9	  1	               	"J1"
       DIODESCH	  4	               	"D6, D7, D8, D9"
      IMD2AT108	  1	               	"U3"
            LED	  4	               	"D1, D2, D4, D5"
      LT1074CT7	  2	               	"U8, U9"
     LT1176_CN8	  2	               	"U6, U10"
         LT1965	  1	               	"U11"
      LTC2951-1	  1	               	"U7"
            NPN	  3	               	"Q1, Q2, Q3"
PIC32MX250F128B	  1	               	"U2"
        PICKIT3	  1	               	"U1"
            SIM	  1	               	"S1"
        SW_PUSH	  1	               	"SW1"
      UC15_CONN	  1	               	"U4"
